.smooth,.estimate,.se,name,x_value
s(gam_age_diag_prod),-0.2238641967217033,0.20887411702623093,diag_prod,2181.818181818182
s(gam_age_diag_prod),-0.28859179052413864,0.2731198709755034,diag_prod,2272.7272727272725
s(gam_age_diag_prod),-0.3517582782834976,0.35972649574701154,diag_prod,2363.6363636363635
s(gam_age_diag_prod),-0.4141690330445703,0.45598225398434605,diag_prod,2454.5454545454545
s(gam_age_diag_prod),-0.47654240101311335,0.5567891472538481,diag_prod,2545.4545454545455
s(gam_age_diag_prod),-0.5394701143290523,0.6599719017161146,diag_prod,2636.3636363636365
s(gam_age_diag_prod),-0.603379917688498,0.764494129671577,diag_prod,2727.272727272727
s(gam_age_diag_prod),-0.6685079893850452,0.8698120688650303,diag_prod,2818.181818181818
s(gam_age_diag_prod),-0.7349177427646294,0.9756166286705406,diag_prod,2909.090909090909
s(gam_age_diag_prod),-0.8025113709380134,1.0817203558036423,diag_prod,3000
s(gam_age_diag_prod),-0.8710324095145949,1.1880036831183471,diag_prod,3090.909090909091
s(gam_age_diag_prod),-0.9400972692356934,1.294386967759806,diag_prod,3181.8181818181815
s(gam_age_diag_prod),-1.0092429768170985,1.4008150779198791,diag_prod,3272.7272727272725
s(gam_age_diag_prod),-1.0779652549047598,1.5072486765274271,diag_prod,3363.6363636363635
s(gam_age_diag_prod),-1.1457609066053536,1.6136586930977113,diag_prod,3454.5454545454545
s(gam_age_diag_prod),-1.2121724745465745,1.7200223749717445,diag_prod,3545.4545454545455
s(gam_age_diag_prod),-1.2768188995491512,1.8263204014997605,diag_prod,3636.363636363636
s(gam_age_diag_prod),-1.339413226971711,1.9325349315760751,diag_prod,3727.272727272727
s(gam_age_diag_prod),-1.3997892589703678,2.0386483291341255,diag_prod,3818.181818181818
s(gam_age_diag_prod),-1.4579123452506142,2.144642569738835,diag_prod,3909.090909090909
s(gam_age_diag_prod),-1.5138730684079895,2.250499291711168,diag_prod,4000
s(gam_age_diag_prod),-1.5678799100793692,2.356200216958322,diag_prod,4090.909090909091
s(gam_age_diag_prod),-1.620233660074744,2.4617277227253007,diag_prod,4181.818181818182
s(gam_age_diag_prod),-1.6713078841250508,2.5670655531928883,diag_prod,4272.727272727273
